season,week,n_qualifying_legs,n_top_legs,n_tickets,n_positive_ev,n_selected,max_leg_exposure,units,wins,week_profit_loss,block,scenario,procedure,american_2team,american_3team
2021,12,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,13,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,14,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,15,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,16,4,4,10,6,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,17,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,19,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,1,3,3,4,3,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,2,3,3,4,3,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,3,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,4,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,5,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,6,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,7,3,3,4,3,3,2,3.0,1,-1.1666666666666665,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,10,4,4,10,6,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,11,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,12,3,3,4,3,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,13,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,14,3,3,4,3,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,15,3,3,4,3,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,16,4,4,10,6,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,18,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,19,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2022,21,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,1,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,2,6,4,10,6,3,2,3.0,1,-1.1666666666666665,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,3,4,4,10,6,3,2,3.0,1,-1.1666666666666665,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,4,3,3,4,3,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,5,4,4,10,6,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,7,4,4,10,6,3,2,3.0,1,-1.1666666666666665,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,8,3,3,4,3,3,2,3.0,1,-1.1666666666666665,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,9,3,3,4,3,3,2,3.0,1,-1.1666666666666665,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,10,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,11,5,4,10,6,3,2,3.0,1,-1.1666666666666665,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,12,3,3,4,2,2,2,2.0,0,-2.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,14,3,3,4,3,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,15,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,17,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,18,3,3,4,3,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,19,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,20,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2023,22,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2018,1,3,3,4,2,2,2,2.0,2,1.5384615384615385,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,2,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,3,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,4,4,4,10,2,2,2,2.0,2,1.5384615384615385,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,6,3,3,4,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,7,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,8,4,4,10,2,2,2,2.0,2,1.5384615384615385,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,9,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,10,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,11,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,15,5,4,10,5,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,16,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,17,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,1,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,2,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,3,3,3,4,2,2,2,2.0,2,1.5384615384615385,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,4,3,3,4,2,2,2,2.0,1,-0.23076923076923073,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,7,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,11,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,13,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,16,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,17,2,2,1,1,1,1,1.0,1,0.7692307692307693,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2019,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,1,3,3,4,3,3,2,3.0,3,2.307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,2,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,3,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,4,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,5,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,10,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,11,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,12,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,13,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,15,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,16,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2020,17,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,1,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,3,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,4,3,3,4,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,5,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,8,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,10,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,11,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,12,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,13,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,14,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,15,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,16,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,17,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2021,19,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,1,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,2,3,3,4,2,2,2,2.0,0,-2.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,3,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,4,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,5,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,6,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,7,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,10,4,4,10,1,1,1,1.0,1,0.7692307692307693,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,11,2,2,1,1,1,1,1.0,1,0.7692307692307693,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,12,3,3,4,3,3,2,3.0,3,2.307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,13,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,14,3,3,4,2,2,2,2.0,2,1.5384615384615385,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,15,3,3,4,3,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,16,4,4,10,5,3,2,3.0,3,2.307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,18,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,19,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2022,21,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,1,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,2,6,4,10,5,3,2,3.0,1,-1.2307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,3,4,4,10,3,2,2,2.0,1,-0.23076923076923073,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,4,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,5,4,4,10,4,3,2,3.0,3,2.307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,7,4,4,10,4,3,2,3.0,1,-1.2307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,8,3,3,4,2,2,2,2.0,1,-0.23076923076923073,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,9,3,3,4,2,2,2,2.0,1,-0.23076923076923073,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,10,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,11,5,4,10,5,3,2,3.0,1,-1.2307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,12,3,3,4,2,2,2,2.0,0,-2.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,14,3,3,4,3,3,2,3.0,3,2.307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,15,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,17,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,18,3,3,4,3,3,2,3.0,3,2.307692307692308,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,19,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,20,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2023,22,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-130,
2018,1,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,2,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,3,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,4,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,6,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,7,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,8,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,9,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,10,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,11,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,15,5,4,10,2,2,2,2.0,0,-2.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,16,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,17,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,1,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,2,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,3,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,4,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,7,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,11,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,13,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,16,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,17,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2019,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,1,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,2,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,3,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,4,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,5,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,10,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,11,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,12,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,13,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,15,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,16,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2020,17,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,1,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,3,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,4,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,5,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,8,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,10,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,11,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,12,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,13,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,14,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,15,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,16,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,17,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2021,19,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,1,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,2,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,3,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,4,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,5,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,6,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,7,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,10,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,11,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,12,3,3,4,2,2,2,2.0,2,1.4285714285714286,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,13,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,14,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,15,3,3,4,3,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,16,4,4,10,2,2,2,2.0,2,1.4285714285714286,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,18,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,19,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2022,21,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,1,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,2,6,4,10,1,1,1,1.0,1,0.7142857142857143,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,3,4,4,10,3,2,2,2.0,1,-0.2857142857142857,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,4,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,5,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,7,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,8,3,3,4,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,9,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,10,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,11,5,4,10,3,2,2,2.0,1,-0.2857142857142857,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,12,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,14,3,3,4,1,1,1,1.0,1,0.7142857142857143,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,15,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,17,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,18,3,3,4,2,2,2,2.0,2,1.4285714285714286,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,19,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,20,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2023,22,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-140,
2018,1,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,2,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,3,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,4,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,6,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,7,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,8,4,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,9,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,10,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,11,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,15,5,4,10,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,16,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,17,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
2018,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-150,
